actionmailer,4.0.3,MIT,"Email composition, delivery, and receiving framework (part of Rails).","Email on Rails. Compose, deliver, receive, and test emails using the familiar controller/view pattern. First-class support for multipart email and attachments."
actionpack,4.0.3,MIT,Web-flow and rendering framework putting the VC in MVC (part of Rails).,"Web apps on Rails. Simple, battle-tested conventions for building and testing MVC web applications. Works with any Rack-compatible server."
activemodel,4.0.3,MIT,A toolkit for building modeling frameworks (part of Rails).,"A toolkit for building modeling frameworks like Active Record. Rich support for attributes, callbacks, validations, observers, serialization, internationalization, and testing."
activerecord,4.0.3,MIT,Object-relational mapper framework (part of Rails).,"Databases on Rails. Build a persistent domain model by mapping database tables to Ruby classes. Strong conventions for associations, validations, aggregations, migrations, and testing come baked-in."
activerecord-deprecated_finders,1.0.3,MIT,This gem contains deprecated finder APIs extracted from Active Record.,Deprecated finder APIs extracted from Active Record.
activesupport,4.0.3,MIT,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,"A toolkit of support libraries and Ruby core extensions extracted from the Rails framework. Rich support for multibyte strings, internationalization, time zones, and testing."
apipie-rails,0.1.3,MIT,Rails REST API documentation tool,Rails REST API documentation tool
arel,4.0.2,MIT,Arel is a SQL AST manager for Ruby,"Arel is a SQL AST manager for Ruby. It

1. Simplifies the generation of complex SQL queries
2. Adapts to various RDBMS systems

It is intended to be a framework framework; that is, you can build your own ORM
with it, focusing on innovative object and collection modeling as opposed to
database compatibility and query generation."
atomic,1.1.16,Apache-2.0,"An atomic reference implementation for JRuby, Rubinius, and MRI","An atomic reference implementation for JRuby, Rubinius, and MRI"
builder,3.1.4,MIT,Builders for MarkUp.,"Builder provides a number of builder objects that make creating structured data
simple to do.  Currently the following builder objects are supported:

* XML Markup
* XML Events"
bundler,1.6.1,MIT,The best way to manage your application's dependencies,"Bundler manages an application's dependencies through its entire life, across many machines, systematically and repeatably"
ejs,1.1.1,MIT,EJS (Embedded JavaScript) template compiler,Compile and evaluate EJS (Embedded JavaScript) templates from Ruby.
erubis,2.7.0,MIT,a fast and extensible eRuby implementation which supports multi-language,"Erubis is an implementation of eRuby and has the following features:

  * Very fast, almost three times faster than ERB and about 10% faster than eruby.
  * Multi-language support (Ruby/PHP/C/Java/Scheme/Perl/Javascript)
  * Auto escaping support
  * Auto trimming spaces around '<% %>'
  * Embedded pattern changeable (default '<% %>')
  * Enable to handle Processing Instructions (PI) as embedded pattern (ex. '<?rb ... ?>')
  * Context object available and easy to combine eRuby template with YAML datafile
  * Print statement available
  * Easy to extend and customize in subclass
  * Ruby on Rails support"
execjs,2.0.2,MIT,Run JavaScript code from Ruby,ExecJS lets you run JavaScript code from Ruby.
font-awesome-sass,4.0.3.1,MIT,Font-Awesome SASS,Font-Awesome SASS gem for use in Ruby projects
hike,1.2.3,MIT,Find files in a set of paths,A Ruby library for finding files in a set of paths.
i18n,0.6.9,MIT,New wave Internationalization support for Ruby,New wave Internationalization support for Ruby.
jquery-rails,3.1.0,MIT,Use jQuery with Rails 3,This gem provides jQuery and the jQuery-ujs driver for your Rails 3 application.
json,1.8.1,other,This json is bundled with Ruby,""
kaminari,0.15.1,MIT,A pagination engine plugin for Rails 3+ and other modern frameworks,"Kaminari is a Scope & Engine based, clean, powerful, agnostic, customizable and sophisticated paginator for Rails 3+"
mail,2.5.4,MIT,"Mail provides a nice Ruby DSL for making, sending and reading emails.",A really Ruby Mail handler.
mime-types,1.25.1,other,This library allows for the identification of a file's likely MIME content type,"This library allows for the identification of a file's likely MIME content
type. This is release 1.25.1, fixing an issue with priority comparison for
mime-types 1.x. The current release is 2.0, which only supports Ruby 1.9 or
later.

Release 1.25.1 contains all features of 1.25, including the experimental
caching and lazy loading functionality. The caching and lazy loading features
were initially implemented by Greg Brockman (gdb). As these features are
experimental, they are disabled by default and must be enabled through the use
of environment variables. The cache is invalidated on a per-version basis; the
cache for version 1.25 will not be reused for any later version.

To use lazy loading, set the environment variable +RUBY_MIME_TYPES_LAZY_LOAD+
to any value other than 'false'. When using lazy loading, the initial startup
of MIME::Types is around 12–25× faster than normal startup (on my system,
normal startup is about 90 ms; lazy startup is about 4 ms). This isn't
generally useful, however, as the MIME::Types database has not been loaded.
Lazy startup and load is just *slightly* faster—around 1 ms. The real advantage
comes from using the cache.

To enable the cache, set the environment variable +RUBY_MIME_TYPES_CACHE+ to a
filename where MIME::Types will have read-write access. The first time a new
version of MIME::Types is run using this file, it will be created, taking a
little longer than normal. Subsequent loads using the same cache file will be
approximately 3½× faster (25 ms) than normal loads. This can be combined with
+RUBY_MIME_TYPES_LAZY_LOAD+, but this is *not* recommended in a multithreaded
or multiprocess environment where all threads or processes will be using the
same cache file.

As the caching interface is still experimental, the only values cached are the
default MIME::Types database, not any custom MIME::Types added by users.

MIME types are used in MIME-compliant communications, as in e-mail or HTTP
traffic, to indicate the type of content which is transmitted. MIME::Types
provides the ability for detailed information about MIME entities (provided as
a set of MIME::Type objects) to be determined and used programmatically. There
are many types defined by RFCs and vendors, so the list is long but not
complete; don't hesitate to ask to add additional information. This library
follows the IANA collection of MIME types (see below for reference).

MIME::Types for Ruby was originally based on MIME::Types for Perl by Mark
Overmeer, copyright 2001 - 2009.

MIME::Types is built to conform to the MIME types of RFCs 2045 and 2231. It
tracks the {IANA registry}[http://www.iana.org/assignments/media-types/]
({ftp}[ftp://ftp.iana.org/assignments/media-types]) with some unofficial types
added from the {LTSW collection}[http://www.ltsw.se/knbase/internet/mime.htp]
and added by the users of MIME::Types."
minitest,4.7.5,other,This minitest is bundled with Ruby,""
multi_json,1.9.2,MIT,A common interface to multiple JSON libraries.,"A common interface to multiple JSON libraries, including Oj, Yajl, the JSON gem (with C-extensions), the pure-Ruby JSON gem, NSJSONSerialization, gson.rb, JrJackson, and OkJson."
pg,0.17.1,other,Pg is the Ruby interface to the {PostgreSQL RDBMS}[http://www.postgresql.org/],"Pg is the Ruby interface to the {PostgreSQL RDBMS}[http://www.postgresql.org/].

It works with {PostgreSQL 8.4 and later}[http://www.postgresql.org/support/versioning/].

A small example usage:

  #!/usr/bin/env ruby

  require 'pg'

  # Output a table of current connections to the DB
  conn = PG.connect( dbname: 'sales' )
  conn.exec( ""SELECT * FROM pg_stat_activity"" ) do |result|
    puts ""     PID | User             | Query""
  result.each do |row|
      puts "" %7d | %-16s | %s "" %
        row.values_at('procpid', 'usename', 'current_query')
    end
  end"
polyglot,0.3.4,MIT,Augment 'require' to load non-Ruby file types,"The Polyglot library allows a Ruby module to register a loader
for the file type associated with a filename extension, and it
augments 'require' to find and load matching files."
psych,2.0.5,MIT,Psych is a YAML parser and emitter,"Psych is a YAML parser and emitter.  Psych leverages libyaml[http://pyyaml.org/wiki/LibYAML]
for its YAML parsing and emitting capabilities.  In addition to wrapping
libyaml, Psych also knows how to serialize and de-serialize most Ruby objects
to and from the YAML format."
rack,1.5.2,MIT,a modular Ruby webserver interface,"Rack provides a minimal, modular and adaptable interface for developing
web applications in Ruby.  By wrapping HTTP requests and responses in
the simplest way possible, it unifies and distills the API for web
servers, web frameworks, and software in between (the so-called
middleware) into a single method call.

Also see http://rack.github.com/."
rack-test,0.6.2,MIT,Simple testing API built on Rack,"Rack::Test is a small, simple testing API for Rack apps. It can be used on its
own or as a reusable starting point for Web frameworks and testing libraries
to build on. Most of its initial functionality is an extraction of Merb 1.0's
request helpers feature."
rails,4.0.3,MIT,Full-stack web application framework.,Ruby on Rails is a full-stack web framework optimized for programmer happiness and sustainable productivity. It encourages beautiful code by favoring convention over configuration.
rails_12factor,0.0.2,LICENSE,"Following best practices from http://12factor.net run a maintainable, clean, and scalable app on Rails",Run Rails the 12factor way
rails_serve_static_assets,0.0.2,LICENSE,Sets serve_static_assets to true so Rails will sere your static assets,Force Rails to serve static assets
rails_stdout_logging,0.0.3,MIT,Overrides Rails' built in logger to send all logs to stdout,Sets Rails to log to stdout
railties,4.0.3,MIT,"Tools for creating, working with, and running Rails applications.","Rails internals: application bootup, plugins, generators, and rake tasks."
rake,10.2.2,MIT,Rake is a Make-like program implemented in Ruby,"Rake is a Make-like program implemented in Ruby. Tasks and dependencies are
specified in standard Ruby syntax.

Rake has the following features:

* Rakefiles (rake's version of Makefiles) are completely defined in
  standard Ruby syntax.  No XML files to edit.  No quirky Makefile
  syntax to worry about (is that a tab or a space?)

* Users can specify tasks with prerequisites.

* Rake supports rule patterns to synthesize implicit tasks.

* Flexible FileLists that act like arrays but know about manipulating
  file names and paths.

* A library of prepackaged tasks to make building rakefiles easier. For example,
  tasks for building tarballs and publishing to FTP or SSH sites.  (Formerly
  tasks for building RDoc and Gems were included in rake but they're now
  available in RDoc and RubyGems respectively.)

* Supports parallel execution of tasks."
